jcl_member,sort_programs,dataset_count,first_evidence_line,last_evidence_line
JCP0139R,SORT,13,3,234
JCP0203R,ICETOOL SORT,14,3,266
JCP0206R,SORT,4,3,101
JCP0208R,SORT,4,3,59
JCP0214R,SORT,23,3,348
JCP0298R,SORT,8,4,73
JCP0355R,SORT,20,5,166
JCP0361R,SORT,9,4,52
JCP0402U,SORT,15,12,53
JCP0474R,SORT,6,10,103
JCP04773,SORT,50,15,609
JCP0497U,SORT,17,3,279
JCP05083,SORT,44,12,260
JCP0512U,SORT,10,3,85
JCP0512X,SORT,9,12,95
JCP0531U,ICEMAN SORT,16,11,181
JCP0533U,ICEMAN SORT,12,8,150
JCP0537U,SORT,24,8,347
JCP0537Y,SORT,2,11,26
JCP0538F,SORT,4,20,43
JCP0538Y,SORT,2,11,26
JCP0540R,ICETOOL SORT,30,3,473
JCP0543R,SORT,15,35,177
JCP0571U,SORT,10,14,136
JCP0577U,ICEMAN SORT,12,4,150
JCP0623U,SORT,9,4,63
JCP0638U,SORT,7,3,61
JCP0639U,SORT,8,3,114
JCP0643U,SORT,7,3,60
JCP0644U,SORT,8,3,114
JCP0653R,SORT,8,3,100
JCP0658U,SORT,6,4,58
JCP065WA,SORT,10,3,84
JCP0680U,SORT,8,28,85
JCP0687Y,SORT,2,11,26
JCP0687Z,SORT,2,10,25
JCP0695R,SORT,33,3,507
JCP0697U,SORT,9,8,129
JCP0698R,SORT,13,3,177
JCP0708U,ICETOOL SORT,10,38,160
JCP070UD,SORT,50,167,1562
JCP0718R,SORT,17,8,179
JCP0723U,SORT,23,3,322
JCP0755U,ICETOOL SORT,15,3,245
JCP0758U,SORT,14,34,147
JCP0769U,ICEMAN SORT,9,40,337
JCP0770U,SORT,12,12,140
JCP0773U,ICETOOL,5,4,56
JCP0774U,SORT,10,5,118
JCP0775U,SORT,6,3,84
JCP0776U,SORT,8,3,108
JCP0780R,SORT,17,4,273
JCP0785U,SORT,11,4,126
JCP0790U,ICETOOL,15,3,116
JCP0802U,SORT,15,3,151
JCP0803U,SORT,11,3,61
JCP0806U,ICETOOL SORT,31,29,472
JCP081WD,SORT,4,17,62
JCP0825U,SORT,15,15,97
JCP0836U,SORT,7,12,61
JCP0840U,SORT,40,4,846
JCP0842Q,SORT,4,4,40
JCP0852Q,SORT,4,4,40
JCP0930U,SORT,3,18,99
JCP0932U,SORT,3,18,99
JCP0935U,SORT,3,18,99
JCP0938U,SORT,13,4,137
JCP0939U,SORT,5,18,81
JCP0941U,SORT,8,4,107
JCP0948U,SORT,10,4,106
JCP0949U,SORT,13,4,99
JCP0950R,SORT,3,17,126
JCP0952U,SORT,19,9,179
JCP0982R,SORT,13,26,368
JCP0985R,SORT,13,26,371
JCP0986R,SORT,19,26,343
JCP0992U,ICETOOL,16,4,152
JCP0997B,SORT,6,8,64
JCP1028U,SORT,15,5,122
JCP1054U,SORT,11,4,186
JCP1100U,SORT,30,25,133
JCP1176R,ICETOOL,11,4,204
JCP1185U,SORT,9,4,180
JCP1186U,SORT,8,4,146
JCP1187U,SORT,8,4,150
JCP1188U,SORT,5,4,87
JCP1189U,SORT,7,4,83
JCP1190U,SORT,3,4,147
JCP1191U,SORT,5,4,90
JCP1192U,SORT,3,4,45
JCP1194Y,SORT,2,12,60
JCP1210R,SORT,9,4,104
JCP1211R,SORT,9,4,97
JCP1212R,SORT,9,4,97
JCP1213R,SORT,5,24,164
JCP1231Q,SORT,9,15,101
JCP1232Q,SORT,7,10,67
JCP1233U,SORT,11,5,157
JCP1234U,SORT,7,4,108
JCP1235U,SORT,12,5,102
JCP1236U,ICETOOL SORT,28,5,287
JCP1252U,SORT,22,20,183
JCP1253U,SORT,11,20,61
JCP1274U,SORT,5,60,322
JCP1278R,SORT,17,4,129
JCP1290U,SORT,17,4,139
JCP1293U,ICETOOL,12,20,178
JCP1300Y,SORT,2,13,46
JCP1301B,SORT,2,15,30
JCP1301Y,SORT,2,18,25
JCP1303U,SORT,5,4,84
JCP1303Y,SORT,2,13,46
JCP1305Y,ICETOOL,13,5,89
JCP1306U,ICETOOL,8,5,48
JCP1306Y,ICETOOL,8,5,66
JCP1307U,ICETOOL,16,5,102
JCP1307Y,ICETOOL,16,5,139
JCP1308U,ICETOOL,11,5,85
JCP1308Y,ICETOOL,10,5,118
JCP1309U,ICETOOL,11,5,85
JCP1309Y,ICETOOL,10,5,118
JCP1310R,SORT,8,32,166
JCP1325U,SORT,14,4,137
JCP1332R,SORT,31,43,344
JCP1344U,ICETOOL SORT,24,17,349
JCP1344Y,ICETOOL SORT,7,24,127
JCP1345R,SORT,10,19,107
JCP1346R,ICETOOL SORT,18,30,358
